County,20221026_accepted
APPLING,1767
ATKINSON,545
BACON,1280
BAKER,407
BALDWIN,5707
BANKS,2273
BARROW,8779
BARTOW,10084
BEN HILL,2152
BERRIEN,1583
BIBB,16225
BLECKLEY,1606
BRANTLEY,1572
BROOKS,1464
BRYAN,5885
BULLOCH,6192
BURKE,2167
BUTTS,4163
CALHOUN,479
CAMDEN,6071
CANDLER,1286
CARROLL,10547
CATOOSA,7781
CHARLTON,1049
CHATHAM,28995
CHATTAHOOCHEE,290
CHATTOOGA,2164
CHEROKEE,33010
CLARKE,7885
CLAY,388
CLAYTON,33279
CLINCH,541
COBB,94233
COFFEE,3767
COLQUITT,3437
COLUMBIA,19238
COOK,1650
COWETA,19401
CRAWFORD,1438
CRISP,2383
DADE,1565
DAWSON,5100
DECATUR,3095
DEKALB,100588
DODGE,1693
DOOLY,1000
DOUGHERTY,7268
DOUGLAS,19154
EARLY,1224
ECHOLS,295
EFFINGHAM,6547
ELBERT,2147
EMANUEL,1954
EVANS,1149
FANNIN,3761
FAYETTE,21625
FLOYD,8787
FORSYTH,30356
FRANKLIN,2247
FULTON,158135
GILMER,4671
GLASCOCK,339
GLYNN,13158
GORDON,4841
GRADY,2543
GREENE,4481
GWINNETT,89497
HABERSHAM,6434
HALL,25063
HANCOCK,1224
HARALSON,2605
HARRIS,4476
HART,3168
HEARD,1089
HENRY,33310
HOUSTON,23183
IRWIN,1038
JACKSON,8852
JASPER,1897
JEFF DAVIS,1146
JEFFERSON,1884
JENKINS,850
JOHNSON,1088
JONES,3673
LAMAR,2399
LANIER,771
LAURENS,5115
LEE,3757
LIBERTY,6235
LINCOLN,1190
LONG,1263
LOWNDES,12247
LUMPKIN,4845
MACON,1385
MADISON,3423
MARION,842
MCDUFFIE,3122
MCINTOSH,2132
MERIWETHER,2148
MILLER,642
MITCHELL,2120
MONROE,4215
MONTGOMERY,752
MORGAN,3266
MURRAY,2743
MUSCOGEE,21240
NEWTON,12276
OCONEE,8280
OGLETHORPE,2255
PAULDING,20802
PEACH,4155
PICKENS,3794
PIERCE,2370
PIKE,2820
POLK,4618
PULASKI,1211
PUTNAM,3772
QUITMAN,336
RABUN,3757
RANDOLPH,865
RICHMOND,13615
ROCKDALE,13342
SCHLEY,621
SCREVEN,1576
SEMINOLE,727
SPALDING,8398
STEPHENS,3562
STEWART,460
SUMTER,3308
TALBOT,765
TALIAFERRO,291
TATTNALL,1456
TAYLOR,1087
TELFAIR,895
TERRELL,1149
THOMAS,6611
TIFT,3824
TOOMBS,3069
TOWNS,3209
TREUTLEN,816
TROUP,6421
TURNER,1148
TWIGGS,917
UNION,5156
UPSON,3816
WALKER,3301
WALTON,12725
WARE,3629
WARREN,771
WASHINGTON,2389
WAYNE,2917
WEBSTER,346
WHEELER,465
WHITE,3925
WHITFIELD,5897
WILCOX,607
WILKES,1276
WILKINSON,853
WORTH,1907
